artist,count
Justin Bieber Featuring Halsey,7
Ariana Grande Featuring Nicki Minaj,30
OneRepublic,234
"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",22
T-Pain Featuring Chris Brown,20
Fetty Wap,116
21 Savage,71
Mac Miller,25
Sam Smith & Normani,22
No Doubt,8
Fetty Wap Featuring Remy Boyz,40
Calvin Harris Featuring Frank Ocean & Migos,20
Ed Sheeran Featuring Chance The Rapper & PnB Rock,3
Steven Tyler,5
Ciara,41
Kanye West Featuring Paul McCartney,8
JAY-Z,30
will.i.am Featuring Mick Jagger & Jennifer Lopez,8
Drake Featuring 2 Chainz & Young Thug,3
Gene Autry,7
Kings Of Leon,17
New Boyz Featuring The Cataracs & Dev,20
Toby Keith,91
Sawyer Fredericks,7
Future Featuring Rihanna,10
Red Hot Chili Peppers,19
Carly Rae Jepsen,71
"Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson",6
N.W.A,2
Drake Featuring 21 Savage,14
Metro Boomin Featuring 21 Savage,8
Jay Sean Featuring Sean Paul & Lil Jon,14
Yo Gotti Featuring Nicki Minaj,43
The Black Eyed Peas,138
Usher,121
P!nk,209
Lorde,122
Gym Class Heroes Featuring Neon Hitch,23
Charli XCX,28
Rich The Kid,25
Tyga Featuring Offset,29
Old Dominion,135
Little Big Town,125
Michael Ray,39
Major Lazer & DJ Snake Featuring MO,48
Ski Mask The Slump God,12
Disclosure Featuring Sam Smith,39
Kehlani Featuring Ty Dolla $ign,9
August Alsina,18
Frank Ocean,38
Chase Rice,51
Frankie Ballard,55
Kid Ink Featuring Chris Brown,52
Pitbull Featuring John Ryan,20
Dustin Lynch,118
David Guetta & Chris Willis Featuring Fergie & LMFAO,20
Thompson Square,81
Young Jeezy Featuring Ne-Yo,20
DJ Snake Featuring Bipolar Sunshine,21
Billy Currington,168
Dia Frampton,7
"Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall",12
Enrique Iglesias Featuring Wisin,8
Major Lazer Featuring Nyla & Fuse ODG,20
Marsha Ambrosius,19
Tyga Featuring Young Thug,11
Snoop Dogg,14
Nate Ruess,4
James Bay,34
Mary J. Blige Featuring Drake,9
Migos Featuring Post Malone,5
Tori Kelly,32
Of Monsters And Men,48
Future,174
Chris Cagle,12
Justin Moore,123
The Swon Brothers,13
Monica,35
Dua Lipa,71
Cardi B Featuring SZA,5
Meek Mill Featuring Tory Lanez,4
Lil Baby Featuring Gunna & Lil Uzi Vert,6
Lil Wayne & Charlie Puth,7
Pearl Jam,15
Canaan Smith,20
Bebe Rexha & Florida Georgia Line,51
"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",27
Michael Jackson & Justin Timberlake,20
Naughty Boy Featuring Sam Smith,20
Ca$h Out,23
Chris Brown,244
Luke Combs,124
James Arthur,52
Justin Bieber Featuring Usher,19
Krewella,21
Ayo & Teo,25
KONGOS,21
"French Montana Featuring Rick Ross, Drake, Lil Wayne",22
"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",24
Zac Brown Band Featuring Alan Jackson,20
Jon Pardi,91
Fifth Harmony Featuring Fetty Wap,18
YoungBoy Never Broke Again,55
Rae Sremmurd,120
Daughtry,65
ScHoolboy Q Featuring BJ The Chicago Kid,20
Trinidad James,20
DNCE,56
A$AP Ferg Featuring Nicki Minaj,21
lovelytheband,22
Lil Wayne Featuring 2 Chainz,20
Dean Lewis,29
Breathe Carolina,20
Shawn Mendes,192
Tyler Farr,58
Easton Corbin,107
Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,36
Hunter Hayes,110
Chris Brown Featuring Nicki Minaj,26
Pentatonix,22
Adam Lambert,68
The Script,105
John Newman,18
Jason Aldean Featuring Miranda Lambert,19
Big Sean Featuring Kanye West & Roscoe Dash,20
Kiiara,27
Taio Cruz Featuring Travie McCoy,15
Usher Featuring Young Thug,20
Joe Nichols,62
SZA Featuring Travis Scott,20
Khalid,142
Zac Brown Band,221
Thomas Rhett,238
Jason Aldean With Kelly Clarkson,31
Swedish House Mafia Featuring John Martin,33
Charlie Puth Featuring Kehlani,9
Lil Wayne Featuring Snoop Dogg,1
Lil Wayne Featuring Nivea,1
Tyga Featuring Rick Ross,10
Nipsey Hussle Featuring Belly & DOM KENNEDY,3
3OH!3,10
Britney Spears,77
Baauer,20
"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",22
Eminem Featuring Rihanna,58
Lil Wayne Featuring Kendrick Lamar,8
Ed Sheeran & Justin Bieber,5
6ix9ine Featuring Nicki Minaj & Murda Beatz,20
Dr. Dre Featuring Eminem & Skylar Grey,20
Bad Bunny Featuring Drake,27
Logic Featuring Eminem,5
Wiz Khalifa,107
Zayn / Taylor Swift,23
BlocBoy JB Featuring Drake,25
